start;end;orbit;spacecraft_boresight_elat;spacecraft_boresight_elon;spacecraft_eroll;cam4_elat;cam4_elon;cam3_elat;cam3_elon;cam2_elat;cam2_elon;cam1_elat;cam1_elon;comment
2020-06-27;2020-07-10;27;55;321.8;0;89;141.8;67;321.8;43;321.8;19;321.8;CONTINUE IN NORTH. (b/c we will have 8 orbits extra no matter what. might as well do 4 and 4, and put the 4 in north over kepler)
2020-07-10;2020-07-24;27;55;321.8;0;89;141.8;67;321.8;43;321.8;19;321.8;
2020-07-24;2020-08-06;28;55;349.5;0;89;169.5;67;349.5;43;349.5;19;349.5;
2020-08-06;2020-08-20;28;55;349.5;0;89;169.5;67;349.5;43;349.5;19;349.5;
2020-08-20;2020-09-03;29;-55;17.2;0;-89;197.2;-67;17.2;-43;17.2;-19;17.2;GO SOUTH, for the ordinary 26 orbits+4 more, b/c of the 8 extra)
2020-09-03;2020-09-16;29;-55;17.2;0;-89;197.2;-67;17.2;-43;17.2;-19;17.2;
2020-09-16;2020-09-30;30;-55;44.9;0;-89;224.9;-67;44.9;-43;44.9;-19;44.9;
2020-09-30;2020-10-14;30;-55;44.9;0;-89;224.9;-67;44.9;-43;44.9;-19;44.9;
2020-10-14;2020-10-27;31;-55;72.6;0;-89;252.6;-67;72.6;-43;72.6;-19;72.6;
2020-10-27;2020-11-10;31;-55;72.6;0;-89;252.6;-67;72.6;-43;72.6;-19;72.6;
2020-11-10;2020-11-24;32;-55;100.3;0;-89;280.3;-67;100.3;-43;100.3;-19;100.3;
2020-11-24;2020-12-07;32;-55;100.3;0;-89;280.3;-67;100.3;-43;100.3;-19;100.3;
2020-12-07;2020-12-21;33;-55;128.0;0;-89;308.0;-67;128.0;-43;128.0;-19;128.0;
2020-12-21;2021-01-04;33;-55;128.0;0;-89;308.0;-67;128.0;-43;128.0;-19;128.0;
2021-01-04;2021-01-17;34;-55;155.6;0;-89;335.6;-67;155.6;-43;155.6;-19;155.6;
2021-01-17;2021-01-31;34;-55;155.6;0;-89;335.6;-67;155.6;-43;155.6;-19;155.6;
2021-01-31;2021-02-14;35;-55;183.3;0;-89;3.3000000000000114;-67;183.3;-43;183.3;-19;183.3;
2021-02-14;2021-02-27;35;-55;183.3;0;-89;3.3000000000000114;-67;183.3;-43;183.3;-19;183.3;
2021-02-27;2021-03-13;36;-55;211.0;0;-89;31.0;-67;211.0;-43;211.0;-19;211.0;
2021-03-13;2021-03-27;36;-55;211.0;0;-89;31.0;-67;211.0;-43;211.0;-19;211.0;
2021-03-27;2021-04-09;37;-55;238.7;0;-89;58.69999999999999;-67;238.7;-43;238.7;-19;238.7;
2021-04-09;2021-04-23;37;-55;238.7;0;-89;58.69999999999999;-67;238.7;-43;238.7;-19;238.7;
2021-04-23;2021-05-07;38;-55;266.4;0;-89;86.39999999999998;-67;266.4;-43;266.4;-19;266.4;
2021-05-07;2021-05-20;38;-55;266.4;0;-89;86.39999999999998;-67;266.4;-43;266.4;-19;266.4;
2021-05-20;2021-06-03;39;-55;294.1;0;-89;114.10000000000002;-67;294.1;-43;294.1;-19;294.1;
2021-06-03;2021-06-17;39;-55;294.1;0;-89;114.10000000000002;-67;294.1;-43;294.1;-19;294.1;
2021-06-17;2021-06-30;40;-55;321.8;0;-89;141.8;-67;321.8;-43;321.8;-19;321.8;
2021-06-30;2021-07-14;40;-55;321.8;0;-89;141.8;-67;321.8;-43;321.8;-19;321.8;
2021-07-14;2021-07-28;41;-55;349.5;0;-89;169.5;-67;349.5;-43;349.5;-19;349.5;
2021-07-28;2021-08-10;41;-55;349.5;0;-89;169.5;-67;349.5;-43;349.5;-19;349.5;
2021-08-10;2021-08-24;42;-55;17.2;0;-89;197.2;-67;17.2;-43;17.2;-19;17.2;
2021-08-24;2021-09-07;42;-55;17.2;0;-89;197.2;-67;17.2;-43;17.2;-19;17.2;
2021-09-07;2021-09-20;43;-55;44.9;0;-89;224.9;-67;44.9;-43;44.9;-19;44.9;
2021-09-20;2021-10-04;43;-55;44.9;0;-89;224.9;-67;44.9;-43;44.9;-19;44.9;LAST SOUTHERN ORBIT
2021-10-04;2021-10-18;44;0;56.6;90;0;92.6;0;68.6;0;44.6;0;20.6;Then begin observing the ecliptic. Do it continuously, for the 10 orbits that it is possible. Goal: maximize sky area covered. To achieve the goal, in first sector shift backwards by ~10 degrees in longitude. In last sector, shift forwards by same ~10 degrees. Spread out evenly in longitude between those.
2021-10-18;2021-10-31;44;0;56.6;90;0;92.6;0;68.6;0;44.6;0;20.6;Advance in ecliptic longitude. Perhaps shift slightly in latitude to fill in gaps. (Could apply principle to all pointings, could ignore this in simulations).
2021-10-31;2021-11-14;45;0;89.3;90;0;125.3;0;101.3;0;77.3;0;53.3;
2021-11-14;2021-11-28;45;0;89.3;90;0;125.3;0;101.3;0;77.3;0;53.3;
2021-11-28;2021-12-11;46;0;122.0;90;0;158.0;0;134.0;0;110.0;0;86.0;
2021-12-11;2021-12-25;46;0;122.0;90;0;158.0;0;134.0;0;110.0;0;86.0;
2021-12-25;2022-01-08;47;0;154.6;90;0;190.6;0;166.6;0;142.6;0;118.6;
2022-01-08;2022-01-21;47;0;154.6;90;0;190.6;0;166.6;0;142.6;0;118.6;
2022-01-21;2022-02-04;48;0;187.3;90;0;223.3;0;199.3;0;175.3;0;151.3;
2022-02-04;2022-02-18;48;0;187.3;90;0;223.3;0;199.3;0;175.3;0;151.3;Last ecliptic field
2022-02-18;2022-03-03;49;55;211.0;0;89;31.0;67;211.0;43;211.0;19;211.0;GO NORTH
2022-03-03;2022-03-17;49;55;211.0;0;89;31.0;67;211.0;43;211.0;19;211.0;
