start;end;orbit;sector;spacecraft_boresight_elat;spacecraft_boresight_elon;spacecraft_eroll;cam4_elat;cam4_elon;cam3_elat;cam3_elon;cam2_elat;cam2_elon;cam1_elat;cam1_elon;comment
2020-07-04;2020-07-17;61;27;-54;315.8;0;-90;315.8;-66;315.8;-42;315.8;-18;315.8;13 sector Southern continuation
2020-07-17;2020-07-31;62;27;-54;315.8;0;-90;315.8;-66;315.8;-42;315.8;-18;315.8;
2020-07-31;2020-08-13;63;28;-54;343.5;0;-90;343.5;-66;343.5;-42;343.5;-18;343.5;
2020-08-13;2020-08-27;64;28;-54;343.5;0;-90;343.5;-66;343.5;-42;343.5;-18;343.5;
2020-08-27;2020-09-10;65;29;-54;11.2;0;-90;11.2;-66;11.2;-42;11.2;-18;11.2;
2020-09-10;2020-09-23;66;29;-54;11.2;0;-90;11.2;-66;11.2;-42;11.2;-18;11.2;
2020-09-23;2020-10-07;67;30;-54;38.9;0;-90;38.9;-66;38.9;-42;38.9;-18;38.9;
2020-10-07;2020-10-21;68;30;-54;38.9;0;-90;38.9;-66;38.9;-42;38.9;-18;38.9;
2020-10-21;2020-11-03;69;31;-54;66.6;0;-90;66.6;-66;66.6;-42;66.6;-18;66.6;
2020-11-03;2020-11-17;70;31;-54;66.6;0;-90;66.6;-66;66.6;-42;66.6;-18;66.6;
2020-11-17;2020-12-01;71;32;-54;94.3;0;-90;94.3;-66;94.3;-42;94.3;-18;94.3;
2020-12-01;2020-12-14;72;32;-54;94.3;0;-90;94.3;-66;94.3;-42;94.3;-18;94.3;
2020-12-14;2020-12-28;73;33;-54;122;0;-90;122;-66;122;-42;122;-18;122;
2020-12-28;2021-01-11;74;33;-54;122;0;-90;122;-66;122;-42;122;-18;122;
2021-01-11;2021-01-24;75;34;-54;149.6;0;-90;149.6;-66;149.6;-42;149.6;-18;149.6;
2021-01-24;2021-02-07;76;34;-54;149.6;0;-90;149.6;-66;149.6;-42;149.6;-18;149.6;
2021-02-07;2021-02-21;77;35;-54;177.3;0;-90;177.3;-66;177.3;-42;177.3;-18;177.3;
2021-02-21;2021-03-06;78;35;-54;177.3;0;-90;177.3;-66;177.3;-42;177.3;-18;177.3;
2021-03-06;2021-03-20;79;36;-54;205;0;-90;205;-66;205;-42;205;-18;205;
2021-03-20;2021-04-03;80;36;-54;205;0;-90;205;-66;205;-42;205;-18;205;
2021-04-03;2021-04-16;81;37;-54;232.7;0;-90;232.7;-66;232.7;-42;232.7;-18;232.7;
2021-04-16;2021-04-30;82;37;-54;232.7;0;-90;232.7;-66;232.7;-42;232.7;-18;232.7;
2021-04-30;2021-05-14;83;38;-54;260.4;0;-90;260.4;-66;260.4;-42;260.4;-18;260.4;
2021-05-14;2021-05-27;84;38;-54;260.4;0;-90;260.4;-66;260.4;-42;260.4;-18;260.4;
2021-05-27;2021-06-10;85;39;-54;288.1;0;-90;288.1;-66;288.1;-42;288.1;-18;288.1;
2021-06-10;2021-06-24;86;39;-54;288.1;0;-90;288.1;-66;288.1;-42;288.1;-18;288.1;Last southern orbit
2021-06-24;2021-07-07;87;40;54;315.8;0;90;315.8;66;315.8;42;315.8;18;315.8;Bonus 4 sectors go to the north
2021-07-07;2021-07-21;88;40;54;315.8;0;90;315.8;66;315.8;42;315.8;18;315.8;
2021-07-21;2021-08-04;89;41;54;343.5;0;90;343.5;66;343.5;42;343.5;18;343.5;
2021-08-04;2021-08-17;90;41;54;343.5;0;90;343.5;66;343.5;42;343.5;18;343.5;
2021-08-17;2021-08-31;91;42;54;11.2;0;90;11.2;66;11.2;42;11.2;18;11.2;
2021-08-31;2021-09-14;92;42;54;11.2;0;90;11.2;66;11.2;42;11.2;18;11.2;
2021-09-14;2021-09-27;93;43;54;38.9;0;90;38.9;66;38.9;42;38.9;18;38.9;
2021-09-27;2021-10-11;94;43;54;38.9;0;90;38.9;66;38.9;42;38.9;18;38.9;Last of the oddball 4 northern sectors
2021-10-11;2021-10-25;95;44;0;56.6;90;0;92.6;0;68.6;0;44.6;0;20.6;Then begin observing the ecliptic. Do it continuously, for the 10 orbits that it is possible. Goal: maximize sky area covered. To achieve the goal, in first sector shift backwards by ~10 degrees in longitude. In last sector, shift forwards by same ~10 degrees. Spread out evenly in longitude between those.
2021-10-25;2021-11-07;96;44;0;56.6;90;0;92.6;0;68.6;0;44.6;0;20.6;Advance in ecliptic longitude. Perhaps shift slightly in latitude to fill in gaps. (Could apply principle to all pointings, could ignore this in simulations).
2021-11-07;2021-11-21;97;45;0;89.3;90;0;125.3;0;101.3;0;77.3;0;53.3;
2021-11-21;2021-12-05;98;45;0;89.3;90;0;125.3;0;101.3;0;77.3;0;53.3;
2021-12-05;2021-12-18;99;46;0;122;90;0;158;0;134;0;110;0;86;
2021-12-18;2022-01-01;100;46;0;122;90;0;158;0;134;0;110;0;86;
2022-01-01;2022-01-15;101;47;0;154.6;90;0;190.6;0;166.6;0;142.6;0;118.6;
2022-01-15;2022-01-28;102;47;0;154.6;90;0;190.6;0;166.6;0;142.6;0;118.6;
