start;end;orbit;sector;spacecraft_boresight_elat;spacecraft_boresight_elon;spacecraft_eroll;cam4_elat;cam4_elon;cam3_elat;cam3_elon;cam2_elat;cam2_elon;cam1_elat;cam1_elon;comment
2020-06-27;2020-07-10;61;27;54;315.8;0;90;315.8;66;315.8;42;315.8;18;315.8;Spend first 3 months continuing on north (because we will break continuity with the ecliptic, later). Starts at same ecliptic longitude as the original pointings in primary mission.
2020-07-10;2020-07-24;62;27;54;315.8;0;90;315.8;66;315.8;42;315.8;18;315.8;
2020-07-24;2020-08-06;63;28;54;343.5;0;90;343.5;66;343.5;42;343.5;18;343.5;
2020-08-06;2020-08-20;64;28;54;343.5;0;90;343.5;66;343.5;42;343.5;18;343.5;
2020-08-20;2020-09-03;65;29;54;11.2;0;90;11.2;66;11.2;42;11.2;18;11.2;
2020-09-03;2020-09-16;66;29;54;11.2;0;90;11.2;66;11.2;42;11.2;18;11.2;
2020-09-16;2020-09-30;67;30;0;28.9;90;0;64.9;0;40.9;0;16.9;0;352.9;Then begin observing the ecliptic. Do it continuously, for the 10 orbits that it is possible. Goal: maximize sky area covered. To achieve the goal, in first sector shift backwards by ~10 degrees in longitude. In last sector, shift forwards by same ~10 degrees. Spread out evenly in longitude between those.
2020-09-30;2020-10-14;68;30;0;44.9;90;0;80.7;0;56.7;0;32.7;0;8.7;Advance in ecliptic longitude. Perhaps shift slightly in latitude to fill in gaps. (Could apply principle to all pointings, could ignore this in simulations).
2020-10-14;2020-10-27;69;31;0;61;90;0;96.6;0;72.6;0;48.6;0;24.6;
2020-10-27;2020-11-10;70;31;0;77.1;90;0;112.4;0;88.4;0;64.4;0;40.4;
2020-11-10;2020-11-24;71;32;0;93.2;90;0;128.3;0;104.3;0;80.3;0;56.3;
2020-11-24;2020-12-07;72;32;0;109.2;90;0;144.1;0;120.1;0;96.1;0;72.1;
2020-12-07;2020-12-21;73;33;0;125.3;90;0;160;0;136;0;112;0;88;
2020-12-21;2021-01-04;74;33;0;141.4;90;0;175.8;0;151.8;0;127.8;0;103.8;
2021-01-04;2021-01-17;75;34;0;157.4;90;0;191.6;0;167.6;0;143.6;0;119.6;
2021-01-17;2021-01-31;76;34;0;173.5;90;0;207.5;0;183.5;0;159.5;0;135.5;Last ecliptic field
2021-01-31;2021-02-14;77;35;-54;205;0;-90;205;-66;205;-42;205;-18;205;"Go south. (Would begin ""extended mission sector 9"")."
2021-02-14;2021-02-27;78;35;-54;205;0;-90;205;-66;205;-42;205;-18;205;
2021-02-27;2021-03-13;79;36;-54;232.7;0;-90;232.7;-66;232.7;-42;232.7;-18;232.7;
2021-03-13;2021-03-27;80;36;-54;232.7;0;-90;232.7;-66;232.7;-42;232.7;-18;232.7;
2021-03-27;2021-04-09;81;37;-54;260.4;0;-90;260.4;-66;260.4;-42;260.4;-18;260.4;
2021-04-09;2021-04-23;82;37;-54;260.4;0;-90;260.4;-66;260.4;-42;260.4;-18;260.4;
2021-04-23;2021-05-07;83;38;-54;288.1;0;-90;288.1;-66;288.1;-42;288.1;-18;288.1;
2021-05-07;2021-05-20;84;38;-54;288.1;0;-90;288.1;-66;288.1;-42;288.1;-18;288.1;
2021-05-20;2021-06-03;85;39;-54;315.8;0;-90;315.8;-66;315.8;-42;315.8;-18;315.8;
2021-06-03;2021-06-17;86;39;-54;315.8;0;-90;315.8;-66;315.8;-42;315.8;-18;315.8;
2021-06-17;2021-06-30;87;40;-54;343.5;0;-90;343.5;-66;343.5;-42;343.5;-18;343.5;
2021-06-30;2021-07-14;88;40;-54;343.5;0;-90;343.5;-66;343.5;-42;343.5;-18;343.5;
2021-07-14;2021-07-28;89;41;-54;11.2;0;-90;11.2;-66;11.2;-42;11.2;-18;11.2;
2021-07-28;2021-08-10;90;41;-54;11.2;0;-90;11.2;-66;11.2;-42;11.2;-18;11.2;
2021-08-10;2021-08-24;91;42;-54;38.9;0;-90;38.9;-66;38.9;-42;38.9;-18;38.9;
2021-08-24;2021-09-07;92;42;-54;38.9;0;-90;38.9;-66;38.9;-42;38.9;-18;38.9;
2021-09-07;2021-09-20;93;43;-54;66.6;0;-90;66.6;-66;66.6;-42;66.6;-18;66.6;
2021-09-20;2021-10-04;94;43;-54;66.6;0;-90;66.6;-66;66.6;-42;66.6;-18;66.6;
2021-10-04;2021-10-18;95;44;-54;94.3;0;-90;94.3;-66;94.3;-42;94.3;-18;94.3;
2021-10-18;2021-10-31;96;44;-54;94.3;0;-90;94.3;-66;94.3;-42;94.3;-18;94.3;
2021-10-31;2021-11-14;97;45;-54;122;0;-90;122;-66;122;-42;122;-18;122;
2021-11-14;2021-11-28;98;45;-54;122;0;-90;122;-66;122;-42;122;-18;122;
2021-11-28;2021-12-11;99;46;-54;149.6;0;-90;149.6;-66;149.6;-42;149.6;-18;149.6;
2021-12-11;2021-12-25;100;46;-54;149.6;0;-90;149.6;-66;149.6;-42;149.6;-18;149.6;
2021-12-25;2022-01-08;101;47;-54;177.3;0;-90;177.3;-66;177.3;-42;177.3;-18;177.3;
2022-01-08;2022-01-21;102;47;-54;177.3;0;-90;177.3;-66;177.3;-42;177.3;-18;177.3;
2022-01-21;2022-02-04;103;48;54;205;0;90;205;66;205;42;205;18;205;switch to north
2022-02-04;2022-02-18;104;48;54;205;0;90;205;66;205;42;205;18;205;
2022-02-18;2022-03-03;105;49;54;232.7;0;90;232.7;66;232.7;42;232.7;18;232.7;
2022-03-03;2022-03-17;106;49;54;232.7;0;90;232.7;66;232.7;42;232.7;18;232.7;
2022-03-17;2022-03-31;107;50;54;260.4;0;90;260.4;66;260.4;42;260.4;18;260.4;
2022-03-31;2022-04-13;108;50;54;260.4;0;90;260.4;66;260.4;42;260.4;18;260.4;
2022-04-13;2022-04-27;109;51;54;288.1;0;90;288.1;66;288.1;42;288.1;18;288.1;
2022-04-27;2022-05-11;110;51;54;288.1;0;90;288.1;66;288.1;42;288.1;18;288.1;
2022-05-11;2022-05-24;111;52;54;315.8;0;90;315.8;66;315.8;42;315.8;18;315.8;
2022-05-24;2022-06-07;112;52;54;315.8;0;90;315.8;66;315.8;42;315.8;18;315.8;
